Community Name,SPA,SD,CD,SSD,AD,USCD,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
Reseda,2,3,12,27,45,30,59,0,0,2,12,23,3,11,4,20,45,5,18,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,151,0,41,0,41,192
Rolling Hills,8,4,0,26,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rolling Hills Estates,8,4,0,26,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosemead,3,1,0,22,49,27,12,0,0,4,0,1,1,1,6,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
Rowland Heights,3,4,0,29,55,39,6,0,1,6,10,12,0,0,10,17,24,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,8,0,0,8,66
San Dimas,3,5,0,25,41,32,4,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,8,0,26,0,26,34
San Fernando,2,3,0,18,39,29,13,0,0,0,2,2,0,2,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
San Gabriel,3,5,0,22,49,27,2,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
San Marino,3,5,0,25,49,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
San Pasqual,3,5,0,25,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Pedro,8,4,15,35,70,33,161,0,0,15,29,34,16,9,24,50,67,25,15,0,13,45,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,56,0,0,56,398
Santa Clarita,2,5,0,21,36,25,36,0,0,17,7,18,40,25,28,12,36,63,41,53,0,0,2,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,216,55,15,0,70,286
Santa Fe Springs,7,4,0,32,57,38,7,0,0,2,2,17,1,8,4,4,33,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,63
Santa Monica,5,3,0,26,50,33,330,0,0,26,19,13,7,8,42,32,26,11,15,75,0,0,1,0,0,0,43,23,62,7,1,3,0,15,0,0,0,0,0,0,456,76,115,15,206,662
Santa Susana Mountains,2,5,0,27,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherman Oaks,2,3,2,18,46,30,39,0,0,3,4,5,1,15,6,8,10,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,88
Sierra Madre,3,5,0,25,41,27,1,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
Signal Hill,7,4,0,33,70,47,4,0,0,0,1,7,1,8,0,2,14,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
